t,sector,dataType,value
2,1,laborUsed,NA
2,1,maxPrice,NA
2,1,minPrice,NA
2,1,price,108.41335
2,1,productionValue,0.0
2,1,productionVolume,0.0
2,1,productDestruction,NA
2,1,sectorSize,0.0
2,1,speed,0.049500003
2,1,unsoldVolume,NA
2,1,unsoldVolumePositif,NA
2,2,consumptionBudget,4067482.2
2,2,consumptionValue,NA
2,2,consumptionVolume,NA
2,2,laborUsed,NA
2,2,maxPrice,NA
2,2,minPrice,NA
2,2,price,91.913345
2,2,productionValue,6040955.0
2,2,productionVolume,65724.6
2,2,productDestruction,NA
2,2,sectorSize,1007.0
2,2,speed,-0.049500003
2,2,unsoldVolume,NA
2,2,unsoldVolumePositif,NA
2,3,consumptionBudget,3316623.8
2,3,consumptionValue,NA
2,3,consumptionVolume,NA
2,3,laborUsed,NA
2,3,maxPrice,NA
2,3,minPrice,NA
2,3,price,108.41335
2,3,productionValue,156202.9
2,3,productionVolume,1440.8087
2,3,productDestruction,NA
2,3,sectorSize,41.0
2,3,speed,0.049500003
2,3,unsoldVolume,NA
2,3,unsoldVolumePositif,NA
2,4,consumptionBudget,4074016.2
2,4,consumptionValue,NA
2,4,consumptionVolume,NA
2,4,laborUsed,NA
2,4,maxPrice,NA
2,4,minPrice,NA
2,4,price,108.41335
2,4,productionValue,64412.176
2,4,productionVolume,594.13513
2,4,productDestruction,NA
2,4,sectorSize,18.0
2,4,speed,0.049500003
2,4,unsoldVolume,NA
2,4,unsoldVolumePositif,NA
2,5,consumptionBudget,2038365.9
2,5,consumptionValue,NA
2,5,consumptionVolume,NA
2,5,laborUsed,NA
2,5,maxPrice,NA
2,5,minPrice,NA
2,5,price,91.913345
2,5,productionValue,3254261.0
2,5,productionVolume,35405.72
2,5,productDestruction,NA
2,5,sectorSize,591.0
2,5,speed,-0.049500003
2,5,unsoldVolume,NA
2,5,unsoldVolumePositif,NA
2,6,consumptionBudget,4414006.0
2,6,consumptionValue,NA
2,6,consumptionVolume,NA
2,6,laborUsed,NA
2,6,maxPrice,NA
2,6,minPrice,NA
2,6,price,108.41335
2,6,productionValue,486021.34
2,6,productionVolume,4483.04
2,6,productDestruction,NA
2,6,sectorSize,112.0
2,6,speed,0.049500003
2,6,unsoldVolume,NA
2,6,unsoldVolumePositif,NA
2,7,consumptionBudget,4261570.5
2,7,consumptionValue,NA
2,7,consumptionVolume,NA
2,7,laborUsed,NA
2,7,maxPrice,NA
2,7,minPrice,NA
2,7,price,91.913345
2,7,productionValue,1.2960903E7
2,7,productionVolume,141012.39
2,7,productDestruction,NA
2,7,sectorSize,1919.0
2,7,speed,-0.049500003
2,7,unsoldVolume,NA
2,7,unsoldVolumePositif,NA
2,8,consumptionBudget,2780860.5
2,8,consumptionValue,NA
